state,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Vermont,2020-02-27,-5,-7,-21,-6,-8,3
Vermont,2020-02-28,3,0,-6,8,-9,2
Vermont,2020-02-29,6,-3,16,17,0,-1
Vermont,2020-03-01,15,11,16,6,2,-2
Vermont,2020-03-02,10,4,-1,7,-6,1
Vermont,2020-03-03,16,10,29,13,-10,1
Vermont,2020-03-04,3,4,-4,5,1,1
Vermont,2020-03-05,6,7,14,9,5,-1
Vermont,2020-03-06,3,1,9,7,2,1
Vermont,2020-03-07,10,0,28,25,2,-1
Vermont,2020-03-08,13,11,49,13,4,-2
Vermont,2020-03-09,9,9,52,8,-1,0
Vermont,2020-03-10,1,3,2,3,-1,1
Vermont,2020-03-11,3,5,-4,2,-1,1
Vermont,2020-03-12,3,14,6,-2,1,1
Vermont,2020-03-13,-3,14,-16,-20,-4,4
Vermont,2020-03-14,-6,11,21,-5,-3,3
Vermont,2020-03-15,-8,14,10,-32,-8,3
Vermont,2020-03-16,-5,18,15,-23,-13,6
Vermont,2020-03-17,-24,5,-12,-26,-23,11
Vermont,2020-03-18,-30,-4,21,-29,-31,13
Vermont,2020-03-19,-37,-8,2,-37,-33,15
Vermont,2020-03-20,-41,-12,-14,-48,-37,18
Vermont,2020-03-21,-46,-19,9,-44,-30,11
Vermont,2020-03-22,-47,-21,18,-53,-31,9
Vermont,2020-03-23,-44,-23,-28,-46,-43,17
Vermont,2020-03-24,-46,-21,-12,-39,-47,20
Vermont,2020-03-25,-39,-11,-12,-43,-47,20
Vermont,2020-03-26,-53,-31,6,-48,-53,22
Vermont,2020-03-27,-53,-31,2,-55,-53,24
Vermont,2020-03-28,-59,-36,22,-58,-41,14
Vermont,2020-03-29,-62,-42,-55,-71,-43,13
Vermont,2020-03-30,-51,-33,-32,-55,-54,22
Vermont,2020-03-31,-47,-28,36,-45,-55,21
Vermont,2020-04-01,-47,-22,11,-45,-55,22
Vermont,2020-04-02,-54,-30,-36,-55,-55,24
Vermont,2020-04-03,-54,-29,-37,-63,-56,26
Vermont,2020-04-04,-58,-33,23,-60,-43,14
Vermont,2020-04-05,-58,-34,-1,-69,-42,11
Vermont,2020-04-06,-46,-26,44,-52,-55,20
Vermont,2020-04-07,-48,-25,52,-48,-56,21
Vermont,2020-04-08,-50,-29,-1,-52,-56,23
Vermont,2020-04-09,-55,-30,-42,-60,-56,24
Vermont,2020-04-10,-55,-30,-49,-64,-58,27
Vermont,2020-04-11,-54,-23,-4,-64,-44,15
Vermont,2020-04-12,-75,-55,17,-72,-48,11
Vermont,2020-04-13,-53,-31,-38,-62,-56,23
Vermont,2020-04-14,-48,-25,27,-53,-55,21
Vermont,2020-04-15,-42,-21,11,-51,-55,22
Vermont,2020-04-16,-47,-24,-9,-55,-54,23
Vermont,2020-04-17,-50,-29,-23,-59,-54,24
Vermont,2020-04-18,-54,-31,10,-62,-41,13
Vermont,2020-04-19,-48,-26,50,-63,-39,9
Vermont,2020-04-20,-40,-23,32,-50,-53,19
Vermont,2020-04-21,-46,-24,-14,-55,-54,22
Vermont,2020-04-22,-46,-25,-26,-53,-54,23
Vermont,2020-04-23,-42,-20,31,-49,-52,20
Vermont,2020-04-24,-46,-26,7,-53,-53,22
Vermont,2020-04-25,-45,-23,103,-50,-39,10
Vermont,2020-04-26,-48,-25,-9,-68,-38,10
Vermont,2020-04-27,-42,-24,-31,-53,-51,20
Vermont,2020-04-28,-37,-17,60,-44,-51,13
Vermont,2020-04-29,-36,-17,55,-42,-51,19
Vermont,2020-04-30,-43,-21,-19,-54,-51,21
Vermont,2020-05-01,-41,-20,0,-51,-50,21
Vermont,2020-05-02,-40,-18,100,-49,-36,9
Vermont,2020-05-03,-34,-12,120,-55,-33,6
Vermont,2020-05-04,-34,-17,3,-50,-49,18
Vermont,2020-05-05,-33,-10,50,-43,-49,18
Vermont,2020-05-06,-34,-15,46,-42,-49,18
Vermont,2020-05-07,-33,-13,73,-43,-47,17
Vermont,2020-05-08,-39,-16,15,-51,-48,20
Vermont,2020-05-09,-45,-16,-20,-61,-36,12
Virginia,2020-02-15,2,2,3,4,0,0
Virginia,2020-02-16,4,0,9,-1,0,0
Virginia,2020-02-17,8,2,41,-6,-27,6
Virginia,2020-02-18,1,2,22,4,3,0
Virginia,2020-02-19,2,2,6,3,2,0
Virginia,2020-02-20,-2,3,-7,1,1,2
Virginia,2020-02-21,-3,-7,-7,-2,-4,3
Virginia,2020-02-22,4,2,32,6,2,-1
Virginia,2020-02-23,5,3,43,7,2,-1
Virginia,2020-02-24,1,0,4,1,5,0
Virginia,2020-02-25,4,1,11,2,3,0
Virginia,2020-02-26,7,4,7,6,2,-1
Virginia,2020-02-27,6,4,4,6,2,-1
Virginia,2020-02-28,6,4,7,6,2,-1
Virginia,2020-02-29,6,6,-1,6,2,-1
Virginia,2020-03-01,10,9,24,9,2,-1
Virginia,2020-03-02,7,5,20,2,5,-1
Virginia,2020-03-03,14,10,40,2,-4,0
Virginia,2020-03-04,9,8,39,5,2,-1
Virginia,2020-03-05,6,6,19,4,2,-1
Virginia,2020-03-06,3,1,5,3,1,0
Virginia,2020-03-07,6,8,27,8,1,-1
Virginia,2020-03-08,7,8,62,7,0,-1
Virginia,2020-03-09,7,8,64,-1,3,0
Virginia,2020-03-10,6,8,40,-1,1,0
Virginia,2020-03-11,7,9,40,0,-1,0
Virginia,2020-03-12,7,20,44,-3,-3,0
Virginia,2020-03-13,3,22,46,-8,-8,3
Virginia,2020-03-14,-7,14,37,-6,-3,3
Virginia,2020-03-15,-14,5,-13,-17,-11,5
Virginia,2020-03-16,-7,14,10,-25,-20,9
Virginia,2020-03-17,-13,10,52,-25,-28,11
Virginia,2020-03-18,-21,5,26,-30,-33,13
Virginia,2020-03-19,-23,5,62,-34,-35,14
Virginia,2020-03-20,-26,3,59,-36,-36,15
Virginia,2020-03-21,-37,-4,6,-34,-23,11
Virginia,2020-03-22,-38,-12,15,-43,-31,10
Virginia,2020-03-23,-34,-10,-29,-49,-40,19
Virginia,2020-03-24,-31,-7,29,-43,-42,17
Virginia,2020-03-25,-39,-17,-28,-49,-46,21
Virginia,2020-03-26,-35,-9,34,-46,-45,19
Virginia,2020-03-27,-37,-13,41,-49,-44,20
Virginia,2020-03-28,-42,-14,24,-44,-31,12
Virginia,2020-03-29,-39,-16,46,-50,-36,11
Virginia,2020-03-30,-32,-8,21,-49,-44,18
Virginia,2020-03-31,-40,-17,-15,-51,-48,21
Virginia,2020-04-01,-38,-12,-11,-50,-49,21
Virginia,2020-04-02,-38,-12,9,-52,-49,21
Virginia,2020-04-03,-38,-12,13,-52,-48,22
Virginia,2020-04-04,-45,-14,4,-51,-34,14
Virginia,2020-04-05,-44,-18,21,-56,-39,12
Virginia,2020-04-06,-38,-15,18,-54,-48,20
Virginia,2020-04-07,-37,-12,29,-50,-50,20
Virginia,2020-04-08,-38,-13,24,-49,-52,21
Virginia,2020-04-09,-38,-12,15,-53,-51,21
Virginia,2020-04-10,-39,-14,-7,-56,-54,24
Virginia,2020-04-11,-40,-9,17,-49,-36,13
Virginia,2020-04-12,-59,-29,-8,-59,-44,12
Virginia,2020-04-13,-44,-24,-14,-58,-52,23
Virginia,2020-04-14,-36,-14,24,-49,-49,20
Virginia,2020-04-15,-33,-12,1,-49,-50,21
Virginia,2020-04-16,-34,-12,14,-50,-49,20
Virginia,2020-04-17,-36,-15,19,-51,-48,21
Virginia,2020-04-18,-43,-14,-13,-48,-33,14
Virginia,2020-04-19,-40,-15,22,-53,-36,11
Virginia,2020-04-20,-38,-19,-11,-54,-48,21
Virginia,2020-04-21,-34,-12,25,-48,-49,20
Virginia,2020-04-22,-32,-11,32,-45,-49,19
Virginia,2020-04-23,-38,-16,-17,-51,-49,22
Virginia,2020-04-24,-38,-17,1,-52,-49,22
Virginia,2020-04-25,-41,-13,6,-44,-32,12
Virginia,2020-04-26,-41,-15,-8,-52,-37,11
Virginia,2020-04-27,-33,-14,0,-51,-46,19
Virginia,2020-04-28,-32,-11,23,-46,-48,14
Virginia,2020-04-29,-29,-8,40,-43,-49,18
Virginia,2020-04-30,-38,-18,-30,-52,-50,22
Virginia,2020-05-01,-30,-8,13,-45,-47,20
Virginia,2020-05-02,-33,-3,68,-32,-29,9
Virginia,2020-05-03,-34,-8,39,-45,-33,9
Virginia,2020-05-04,-26,-7,39,-45,-45,17
Virginia,2020-05-05,-28,-6,5,-45,-47,19
